Quellen-Kennung  	 Titel

	 S89 	Wetzlar KbKb 1919-1943 NV
	 S90 	Wetzlar KbKb 1944-1963 NV
	 S91 	Wetzlar KbKb 1964-1984 Dom-Kirchengemeinde NV
	 S92 	Wetzlar KbKb 1964-1986 Kreuz-Kirchengemeinde NV
	 S93 	Wetzlar KbBb 1875-1987 Austritte NV
	 S94 	Wetzlar KbGb 1899-1905 Ostbezirk NV
	 S95 	Wetzlar KbGb 1906-1919 Ostbezirk NV
	 S96 	Wetzlar KbGb 1920-1925 Ostbezirk NV
	 S97 	Wetzlar KbGb 1925-1934 Ostbezirk NV
	 S98 	Wetzlar KbGb 1935-1939 Ostbezirk NV
	 S99 	Wetzlar KbGb 1969-1949 Ostbezirk NV
	 S100 	Wetzlar KbHb 1906-1919 Ostbezirk NV
	 S101 	Wetzlar KbHb 1920-1930 Ostbezirk NV
	 S102 	Wetzlar KbGb 1927-1940 Südbezirk NV
	 S103 	Wetzlar KbKb 1833-1899 lutherisch
	 S104 	Wetzlar KbKb 1837-1840 (Abendmahlsteilnahme) NV
	 S105 	Wetzlar KbKb 1840-1859 (Abendmahlsteilnahme) NV
	 S106 	Wetzlar KbKb 1860-1915 (Abendmahlsteilnahme) NV
	 S107 	Wetzlar KbKb 1916-1957 (Abendmahlsteilnahme) NV
	 S108 	Wetzlar Bürgerrechtslisten 1614-1650
	 S109 	Wetzlar Bürgerrechtslisten 1651-1700
	 S150 	Wetzlar Kirchenbuchkartei Gb Hb Sb 1611-1632
